                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0219,                0.97207,                 1.0034,                0.65656,                0.46259,                 0.5176,                0.28395,                 1.9186,                  1.531,                 1.6299,             0.00014157,             0.00014157,             0.00014157
                     72,                0.96565,                0.93006,                 1.0085,                0.61446,                0.46842,                0.51809,                0.28786,                 1.9002,                 1.5243,                 1.6413,             0.00014298,             0.00014298,             0.00014298
                     73,                 1.0067,                0.93428,                 1.0029,                0.70073,                0.45455,                0.53148,                0.28897,                 1.9207,                 1.4892,                 1.6686,             0.00014437,             0.00014437,             0.00014437
                     74,                 1.0034,                0.91396,                 1.0164,                0.66306,                0.49372,                0.54643,                0.29418,                 1.9661,                 1.4474,                 1.6935,             0.00014574,             0.00014574,             0.00014574
                     75,                0.92786,                0.84364,                0.99348,                0.70131,                0.45059,                0.52545,                0.28572,                 1.9713,                 1.4405,                 1.6754,             0.00014709,             0.00014709,             0.00014709
                     76,                0.90835,                0.83912,                0.99764,                0.70196,                0.44317,                0.50566,                0.28529,                 1.9752,                 1.4555,                 1.6774,             0.00014843,             0.00014843,             0.00014843
                     77,                0.95764,                0.86267,                0.98978,                0.66453,                 0.4548,                0.49937,                0.28963,                 1.9822,                 1.4843,                   1.69,             0.00014975,             0.00014975,             0.00014975
                     78,                  1.014,                  0.866,                 1.0076,                 0.7384,                 0.4358,                0.52438,                0.28424,                 1.9723,                 1.4976,                 1.6724,             0.00015105,             0.00015105,             0.00015105
                     79,                 0.9421,                0.87362,                0.98027,                0.77281,                0.46961,                0.55878,                0.29417,                 1.9595,                 1.4407,                 1.6634,             0.00015234,             0.00015234,             0.00015234
                     80,                0.96471,                0.82277,                 1.0128,                0.68163,                0.48428,                0.53894,                0.29124,                 1.9402,                 1.4288,                 1.6763,              0.0001536,              0.0001536,              0.0001536
                     81,                0.93822,                 0.8135,                0.98189,                0.66714,                 0.4555,                0.51015,                0.28766,                 1.9427,                 1.4213,                  1.709,             0.00015485,             0.00015485,             0.00015485
                     82,                0.91747,                0.79848,                0.97611,                0.65755,                0.47508,                 0.5179,                0.28969,                 1.9106,                  1.408,                 1.6753,             0.00015609,             0.00015609,             0.00015609
                     83,                0.90216,                0.76719,                0.97842,                0.70694,                0.45281,                0.52694,                0.29492,                  1.895,                 1.4183,                 1.6352,              0.0001573,              0.0001573,              0.0001573
